genes	geneNames	C20_1	C20_2	C20_3	G20_1	G20_2	G20_3	GA20_1	GA20_2	GA20_3	L20_1	L20_2	L20_3	L20_4	L20_5	L20_6	L20_7	L20_8	X20_1	X20_2	X20_3
CIC11T00000001266	 IRS4	5.842289439	5.948743022	4.074723387	5.638498076	5.220360311	6.04112164	5.321742216	5.560031173	5.574286178	6.304247334	6.113747314	6.096023355	6.797264683	6.439821457	6.730162933	6.337175928	6.336870497	5.699432637	5.044370105	5.509639998
CIC11T00000001640	 HDA2	7.336660631	7.609852253	7.880762256	7.149288235	7.418975811	7.338553581	7.232627568	7.365174628	7.251183653	7.825210579	7.658534622	7.622629784	7.708418003	7.736719556	7.547854689	7.765421363	7.75909358	7.615485153	7.220325267	7.623864038
CIC11T00000005227	 DPL1	7.793354445	7.859161902	7.436075763	7.690501952	6.317547053	8.283566018	9.47798985	9.460420483	9.395794141	9.014935041	8.498726854	8.556033739	8.879509891	9.244942925	8.72469425	8.516884517	8.79490993	9.178383426	6.769708294	8.329793173
CIC11T00000001229	 YPQ2	3.800090468	4.031676893	3.231488214	6.670780734	5.295287418	7.201727533	3.824292722	4.078300763	3.802511538	7.232416333	6.53909098	6.4505911	6.343392339	7.155377293	6.253306024	5.773852945	5.844101889	6.441825455	5.009315643	6.268833331
CIC11T00000001590	 augustus_masked-chr2-processed-gene-1.60	6.216465042	6.183880197	6.680208761	7.25843845	6.651434418	6.68052457	6.3417621	6.144761041	6.096039327	6.725950111	6.738772642	6.913284192	6.96225788	6.658377528	6.741763164	6.790709353	6.780589435	6.516076608	6.210484283	6.62144471
CIC11T00000002290	 ASE1	7.179540126	7.568810887	8.117230192	6.462969888	7.324597663	6.640080361	6.006819516	6.197946968	6.472410347	6.170830887	5.922891613	5.922939815	5.740805768	5.955296773	5.431585803	6.047127904	5.672137144	6.588289781	7.00255917	7.229981598
CIC11T00000002819	 LSG1	7.67052518	7.949003816	7.880762256	8.991365832	8.519920258	9.180415332	8.83473086	8.893302873	8.777297478	8.798557675	8.568523776	8.713234577	8.788922243	8.914493847	8.812293872	8.808615428	8.78321873	8.508101419	8.043592805	8.083908477
CIC11T00000001584	 SAR1	11.11109408	11.00488734	11.24442702	10.94066115	10.97796971	10.37757707	10.97377323	10.63911119	10.74665186	10.60561934	11.11303551	11.1341781	11.17388109	10.58743914	11.12965404	11.35519621	11.21752204	10.92352436	11.30223445	10.9714073
CIC11T00000001293	 fmo1_2	1.598394743	1.706960926	1.904711244	3.447273409	3.998695457	3.571142342	3.254986113	3.287317581	2.906916043	2.908175776	2.858229836	2.874675452	3.523058275	3.567143047	3.370047209	2.360318	2.692963912	2.89954867	1.423176839	2.145383852
CIC11T00000004348	 augustus_masked-chr2-processed-gene-1.62	5.948013236	5.816430496	6.083838558	1.676333707	1.519557952	2.06190349	7.675382026	7.886588869	7.800761076	6.703105836	7.076661926	7.007196696	7.083586693	6.522152881	7.196544246	7.15640939	6.980114539	4.41160309	4.27469657	5.056233665
CIC11T00000004374	 AIM9	8.492366208	8.546701058	8.83014172	9.063277957	9.085366866	9.134943658	8.718137043	8.846134309	8.918755633	9.009668201	8.546872431	8.65997829	8.629924512	9.016844337	8.507471233	8.488758464	8.540991195	9.103557915	9.069929247	9.243074935
CIC11T00000000030	 TRS20	3.871349824	3.366345193	3.581006857	3.656786162	3.91143999	3.025493509	3.363815342	3.218494617	3.210851822	2.977829788	2.992108526	3.061860167	1.890059119	2.687886487	2.652328217	2.645004752	2.692963912	3.256348624	3.268841427	3.634742016
CIC11T00000005003	 augustus_masked-chr2-processed-gene-1.64	8.02128817	7.976745263	8.273791372	7.084216358	7.359097822	7.165482932	7.197412594	7.269143082	7.432398687	7.583524907	7.437203181	7.366575302	7.45260076	7.530896388	7.342227511	7.413099111	7.206394597	7.280040384	7.503941743	7.332312065
CIC11T00000004385	 SRB6	2.707957338	2.386215035	2.49860027	1.991969623	2.301755109	2.160062118	2.599094034	2.630964872	2.671483117	2.076592926	1.694189005	2.174533758	2.204561364	2.468015238	2.121268051	1.093676746	1.473777298	2.354737798	2.159137655	2.029223744
CIC11T00000004884	 MTC4	5.980242183	6.192757934	6.370734915	5.145773538	4.926319562	5.116926018	5.519390189	5.514143731	5.734568497	5.863050458	5.688009274	5.608194789	5.429950026	5.709622533	5.749815577	5.969511536	5.764481847	4.866614589	4.779329396	4.913813091
CIC11T00000005577	 txl1	8.673786753	8.550064873	8.530256737	8.541681417	8.692701582	8.030746046	7.830600662	7.682633045	7.654823587	8.187468238	8.473537021	8.526356445	8.366389809	8.160234997	8.445954349	8.211283788	8.491034334	8.33374063	8.82734535	8.371578855
CIC11T00000000354	 MDM38	10.0144797	10.06140865	10.15953307	10.3311734	10.24715466	10.3745014	10.18534498	10.18071943	10.20860403	9.873958208	10.05316709	10.022046	10.10153173	9.810660925	10.1053556	10.13693184	10.2264729	10.21313528	10.10876944	10.04093653
CIC11T00000001135	 augustus_masked-chr2-processed-gene-1.81	3.618272448	3.752559883	3.960796769	3.947847446	3.466739527	4.277634779	4.032243254	4.347542483	4.320842937	5.083389458	5.008526536	5.0560944	4.86357767	4.874092041	4.900955141	4.479470999	4.542878552	2.944872774	3.017376317	3.401215914
CIC11T00000000304	 augustus_masked-chr2-processed-gene-1.82	5.892348131	5.557661514	4.856269554	3.810954548	3.964075407	4.516729778	5.085960535	5.367542653	5.928119441	5.963215855	5.930785142	6.412215493	5.982531542	5.626483351	6.139477112	5.905807256	5.672137144	4.264392375	4.827779189	4.571839351
CIC11T00000000185	 augustus_masked-chr2-processed-gene-1.67	0.04051098	0.081970918	-0.531102646	10.78195123	6.706585654	11.02798951	0.301429096	0.50439114	-0.449781542	4.695688998	4.090905204	4.128311257	4.919664917	5.305608406	4.740771761	3.448042364	3.55708198	7.233050545	2.504009113	6.248554919
CIC11T00000001037	 RLF2	7.726261613	8.071991163	7.404969125	7.52793226	8.083894162	7.591272826	7.177383645	7.398437218	7.465176348	7.916418543	8.194558913	8.460998026	8.20308001	7.792231467	8.177663864	8.460257981	8.429505776	7.826742614	7.626688442	7.745233283
CIC11T00000002925	 SLX4	1.585441082	1.54086721	1.824471122	1.20602259	1.646631439	1.747497485	1.201650025	1.151088662	1.65764157	2.050468792	1.554826317	1.443348331	1.936966264	1.994746391	1.730109146	1.761320716	1.912102376	1.843675201	1.631402448	1.797311475
CIC11T00000002081	 augustus_masked-chr2-processed-gene-1.83	5.621734739	5.369896208	6.171137461	4.746905304	4.874439286	4.254564582	5.684852744	5.560031173	5.425274575	4.821078573	5.120126342	5.237844314	5.626322929	4.435748226	5.116261821	5.471205092	5.544162016	4.468639459	5.049345119	4.753157943
CIC11T00000004715	 RPH1	6.606597091	6.839683683	6.370734915	5.685808002	6.383931749	6.214084906	6.891401006	7.207456586	7.327301413	6.408953764	6.222164948	6.096023355	5.943673891	6.611795194	6.095526793	6.031779023	6.202498697	7.052775256	6.314409682	7.044520782
CIC11T00000004310	 RAD24	6.588784298	6.926010648	6.876871001	7.421239689	6.839536853	7.826313394	6.908852804	7.027139844	6.951983675	7.643328499	7.030306841	7.160506567	7.207411751	7.470305913	7.162433704	6.611179166	6.76672041	6.720553451	6.392878021	6.81173088
CIC11T00000001658	 GRX3	9.623807146	9.301988973	9.793246795	9.877190668	9.720074309	9.356638141	9.318358434	9.110028925	9.287248855	9.038984527	9.268598651	9.378626066	9.459550976	8.93841464	9.394760103	9.379452657	9.221373868	9.460279747	9.915162191	9.778844888
CIC11T00000003620	 ADR1	10.03526779	10.1816638	9.878587297	7.829954809	8.133837964	8.589106041	9.739331574	10.25637118	10.23940786	10.51607621	9.475834296	9.418809988	9.098274393	10.11310222	9.003123787	9.433262793	9.394554871	9.691411616	8.944483392	9.348321132
CIC11T00000000929	 YPR098c	6.169040333	6.302745589	6.503390316	6.341048079	6.064839167	5.98962176	6.666738541	6.65643533	6.483708223	6.740126255	6.932274421	6.87657895	6.862696263	6.852884589	6.798996559	6.210496534	6.253680472	6.301933626	6.551917007	6.258713284
CIC11T00000000400	 MSH6	8.924917054	9.115885417	9.224107634	7.990396666	8.909799332	8.289766549	8.263648852	8.227267951	8.38445001	8.602162372	8.288480744	8.134369157	8.301496428	8.531603253	8.193630914	8.274660609	8.333801993	9.050486482	8.787126517	8.79945261
CIC11T00000001551	 LSM1	7.976580334	7.563631244	8.025052762	8.434932068	8.120499389	7.927750833	7.57297429	7.408740018	7.457503462	7.484645472	8.057790805	8.128864604	7.957169231	7.5199918	8.001104585	7.959961085	7.664024442	7.929630222	8.500906839	8.378703113
CIC11T00000000031	 ACAD11	7.042040794	7.184869445	6.926618268	5.20860632	3.893702884	5.687926613	9.12474579	9.166248425	9.06303744	8.585363212	9.17103068	9.283025051	8.836687234	8.319709032	8.981332272	9.093672207	9.064652048	5.333650949	4.937978147	5.424364285
CIC11T00000004037	 RPN7	9.786070263	9.81769121	9.991600267	9.432465746	9.531553804	9.099610068	9.730541013	9.637297134	9.554653313	9.279344847	9.696224581	9.568805284	9.708497329	9.249256204	9.645053126	9.576265122	9.580782705	9.624181535	9.791190874	9.496064601
CIC11T00000004927	 UBC5	6.950477277	6.878663566	7.202815247	5.408948835	4.926319562	4.950584916	7.553877224	7.517326758	7.651279755	5.81956384	7.335819636	7.152230019	5.877674936	5.383087631	6.549652426	6.870407707	6.638442056	5.872780888	6.472095151	5.970109488
CIC11T00000001995	 UGA2_2	6.937123467	7.031040532	7.404969125	5.714981895	5.7622911	5.753747007	7.777074642	7.590929635	7.42656847	7.36617793	7.012048015	7.189260903	6.935487237	7.10417612	6.770538315	7.376712802	7.206394597	5.925364845	6.217098771	5.855016448
CIC11T00000003849	 augustus_masked-chr2-processed-gene-2.81	6.735243907	6.874108315	6.299425854	6.995955537	7.259611608	6.836275243	5.96101216	5.910051348	5.955684158	6.434497534	7.154550125	7.185173323	7.191251139	6.489528144	6.958114674	7.176359547	7.235465588	6.456130535	7.058192848	6.838968265
CIC11T00000004717	 res2	9.565447998	9.755262517	8.560740487	9.084780557	9.365311954	9.03855574	8.65079621	8.791172887	8.652806957	9.564819487	9.691670644	9.657759364	9.543549635	9.274328349	9.593141873	9.742284882	9.563164605	9.108106069	9.357503243	9.190139852
CIC11T00000005905	 SPBC1773.03c_2	-0.445728207	-0.473658761	-0.485057605	0.980054624	-0.121320894	1.200336464	1.92055953	0.24363796	0.59071848	-0.287720989	-0.096639119	0.1156248	0.06612022	-0.197909828	-0.100240126	-0.588114643	-0.232987153	0.490433036	-0.547488381	-0.03742281
CIC11T00000002933	 SPBC1271.10c_2	6.850889667	6.62290265	6.876871001	5.97535647	6.293716588	6.576126433	6.192561432	6.385445215	6.441089549	6.415362843	6.080359303	6.077322341	5.782571419	6.512001016	6.153970645	6.648090465	6.088164173	6.495074493	5.997004322	6.278915309
CIC11T00000000075	 MAK32	5.918682636	5.666870103	6.196287681	5.323796186	5.412449835	5.213875187	5.788790749	5.813318513	5.893273702	5.399560566	4.975875256	5.082738956	5.185651448	5.349247653	5.084919973	5.069566039	5.340906864	5.464184935	5.621901089	5.544808478
CIC11T00000001228	 GRH1	5.070343468	5.194608297	3.84270742	5.276905056	4.971009852	5.183053217	4.983245101	4.444435447	4.543388287	4.870960865	6.080359303	6.264616546	6.365812197	5.137664188	6.537163507	6.732235128	6.433384801	5.01858068	4.953404938	4.385955111
CIC11T00000000627	 DAO1	6.963761483	6.828105533	6.818244602	5.811979446	6.289724099	6.002587451	6.405822407	6.425042471	6.612945287	7.120462378	6.588918885	6.881195982	6.108228151	6.865344785	6.3558088	6.391603969	6.609056311	6.638678315	6.637850198	6.528468322
CIC11T00000002072	 augustus_masked-chr2-processed-gene-2.86	6.18692233	6.062647253	6.569473092	5.685808002	6.038662853	5.373070594	4.227593165	4.241271656	4.010845248	5.663945021	5.918936408	5.724167223	5.72674543	5.238918935	5.724609499	6.210496534	5.754368945	5.494663046	6.519688728	6.029588606
CIC11T00000001654	 MRPL27	8.309270112	8.170098857	8.151710985	9.209078758	9.192408823	8.590004082	7.92921843	7.814762288	7.615550245	7.739795484	8.365289016	8.288392617	8.36146577	7.835720031	8.437427558	8.342338612	8.241297483	8.351820839	9.278087913	8.880559448
CIC11T00000005643	 DPB3_2	5.654312449	5.709409585	5.849760751	6.099439712	6.129202949	5.823591188	5.490164533	5.241061136	5.510787361	5.668151718	6.168498913	6.114596959	5.823726152	6.007338621	5.974748915	6.196044988	5.931044515	5.769140531	5.526172054	5.83536302
CIC11T00000003218	 TTI1	6.725570911	6.793055336	7.276451071	7.162775318	7.206930133	7.376948963	6.569430466	6.812228893	6.558726621	6.995622452	6.413529651	6.102228639	6.108228151	7.053561512	6.574453368	6.224871014	6.417541027	6.960500413	6.723770845	7.218346848
CIC11T00000003412	 CYC2	7.148944349	7.216924747	6.530023172	7.56247978	7.504890124	7.588480382	6.215315095	6.285385186	6.006638175	7.573411539	7.686565815	7.791078839	7.728012118	7.470305913	7.861943541	7.637214844	7.796079784	7.308324271	7.336435827	7.400418618
CIC11T00000004976	 RPS22A	10.41359131	10.2472933	10.56697739	10.98901262	10.63688796	10.20708123	8.480043399	8.222910807	8.231126456	9.464090007	9.682528271	9.701300048	9.705992094	9.537295074	9.529859288	9.602308883	9.594371274	9.689739867	10.41335122	10.00506807
CIC11T00000004339	 IMP1	3.205775617	3.15097098	3.410847626	4.949039963	4.032948123	5.224078954	3.950660032	3.634642455	3.504760633	5.445334961	5.413106785	5.548395322	5.010933316	5.022552746	4.810430395	4.631505896	4.762474593	3.838127448	3.795739144	3.999941887
CIC11T00000005064	 SWP1	9.740133426	9.597924341	9.913652649	9.188903274	9.322984516	8.934972255	9.197155895	8.933172811	9.168711735	9.090280969	9.476687798	9.629021478	9.578814286	9.148841871	9.538093035	9.627991085	9.511316186	9.085259588	9.632489414	9.307271435
CIC11T00000002271	 ILM1	5.544247751	4.940688561	5.769089186	5.402485641	5.161415591	4.817696915	5.01294717	4.71860853	4.892702473	4.17923063	3.973050246	3.74770665	3.523058275	4.372740656	3.944826774	3.754539411	3.756602323	4.739442403	5.278981261	5.112401862
CIC11T00000002383	 SRB4	7.833952851	7.956336447	8.29314507	7.778291755	7.998818396	7.711029781	8.044158626	7.996780412	7.963179637	7.690119883	7.365540362	7.269636089	7.317689245	7.731721645	7.310071702	7.376712802	7.40847137	7.974584867	7.946123192	7.986033313
CIC11T00000004447	 RPN3	10.12036525	10.07503922	9.865132308	9.9822023	9.933389103	9.533119236	10.21368795	9.965111723	10.00119928	9.712941226	10.17288273	10.18733526	10.14095515	9.689132135	10.20583925	10.23618613	10.25310202	9.970660309	9.960672199	9.965911505
CIC11T00000004537	 CHT2	12.52153341	12.41093516	11.87128767	14.31668276	14.42600565	14.33069904	11.77579948	11.4980976	11.81921254	12.54229398	12.37901457	12.41433243	12.43973148	12.5464892	12.37993767	12.32556928	12.3069058	13.76799668	13.68835935	13.68924154
CIC11T00000004867	 snap_masked-chr2-processed-gene-2.126	-0.818267557	-0.757570084	-0.7759324	4.895900277	2.511148773	5.452696841	9.277357951	9.050197398	9.302901956	2.806067467	1.842003056	1.781512502	1.486820155	2.680791767	1.987119973	0.940761745	1.098427371	1.697557849	0.473857556	0.974103759
CIC11T00000003733	 augustus_masked-chr2-processed-gene-2.71	6.921455171	6.837372219	7.541926788	5.97535647	5.5772383	5.395585264	9.100317482	8.624168025	8.687709324	6.728791551	7.582833997	7.535517242	6.899350572	6.548365726	7.239726839	7.095589036	7.049532889	7.222486678	7.172776848	7.074338915
CIC11T00000005743	 ypt-1	10.23188727	10.08005958	9.404822799	9.445523453	9.894639614	9.327638901	10.1325302	10.10584266	10.24665746	9.369132248	9.28847815	9.257562604	9.389558908	9.335912326	9.320669058	9.102086885	9.214301586	9.907512601	10.20854866	9.890727185
CIC11T00000000592	 TDA4	8.672726647	8.493294986	8.898759307	7.501694432	8.020883825	7.288519168	8.093455262	8.4215838	8.487543153	8.248934465	7.905076552	7.9483054	7.921499203	8.093766752	7.858263763	7.788708287	8.00232692	8.04699421	8.560851809	8.044597162
CIC11T00000003057	 ADO1	12.26108722	12.05902784	12.11096908	13.52196183	13.44547809	13.27491408	10.61597437	10.34494445	10.50259663	11.56130132	11.82343777	11.79595806	11.80566576	11.48975956	11.78827881	11.83697741	11.87173734	12.80076495	13.09943408	12.69982828
CIC11T00000005542	 POL5	7.366922763	7.650204758	7.565486413	9.569147455	8.781756256	10.06956391	7.599458712	7.881530782	7.628116194	9.531302061	8.762554642	8.775386297	9.056401405	9.618071838	9.167339849	8.641668661	8.78321873	8.574063436	7.85820575	8.098477306
CIC11T00000005574	 snap_masked-chr2-processed-gene-2.130	9.787263243	9.543012818	9.938798771	10.571821	10.16041146	9.725818095	9.746064303	8.941466891	9.180983423	9.204377492	8.715402062	8.754876407	8.655851941	9.119459554	8.596541327	8.739428361	8.5962239	9.827321409	10.32225482	10.2139183
CIC11T00000001128	 MDL2	7.951691066	8.096918865	8.399705046	8.600361103	8.518326376	8.915898439	7.037248554	7.348373086	7.209046274	8.193691546	7.164426506	7.076487533	7.066606073	7.998667336	7.1128845	6.903821117	7.024509256	8.374617701	8.17493242	8.377280125
CIC11T00000002599	 YOL057w	8.567259691	8.73341982	8.966677678	7.539502991	8.263040797	7.853962629	8.341374567	8.49341309	8.601083184	8.168694027	7.549346571	7.514134487	7.628391262	8.066841415	7.605886696	7.536345732	7.575104797	8.361620106	8.441892686	8.251309703
CIC11T00000004890	 SWC5	6.120769822	5.977663876	6.40799856	5.408948835	5.767128757	5.247752843	6.580736424	6.307596503	6.522873653	5.574142348	6.038989535	6.058492397	5.930599062	5.6904396	5.990139781	5.790691112	5.82440772	5.123500076	5.538840497	5.345894581
CIC11T00000002196	 PBP2	7.791778914	7.736974925	7.679945416	8.383510585	8.052605727	8.200265778	7.912793911	7.71545602	7.930327659	8.343866327	8.483368298	8.629550024	8.594848614	8.602350419	8.359136237	8.582908057	8.480901206	8.34197743	7.847845295	8.337054795
CIC11T00000002384	 YGL114w	6.505776944	6.523053673	6.403369134	6.941486569	6.855683848	7.581485078	8.661389374	8.955899662	9.046265229	7.659027581	6.685813773	6.445142839	6.739827735	7.68753598	7.057228898	6.484243844	6.77366423	7.887811632	7.374661006	7.811901382
CIC11T00000003217	 SNF4	10.12134681	9.970821668	10.56823733	9.577988931	9.779641316	8.987435111	9.956720645	9.70939844	9.792891268	8.759547482	9.569100385	9.414386773	9.231732474	8.717088622	9.41591218	9.327822788	9.533427045	9.336148761	9.887521067	9.440527604
CIC11T00000004538	 ZRT2_2	13.11551233	13.17391545	12.34107975	14.40160225	14.63871553	14.44631026	12.50718556	12.49840115	12.71951241	11.08416118	11.42614414	11.39430256	11.46091403	11.08964233	11.527173	11.54689351	11.45516401	13.96237695	13.9189242	13.95043639
CIC11T00000001362	 augustus_masked-chr2-processed-gene-2.76	9.652308645	9.927497009	9.340475831	10.05524467	10.12316266	10.15390555	9.460029325	9.49264121	9.489581857	9.22717368	9.432660797	9.471099583	9.476652602	9.186073434	9.460949305	9.599073344	9.705080647	9.98202433	9.42724227	9.858910528
CIC11T00000005544	 MRPS8	7.710003485	7.408400167	7.715996345	8.477505941	8.286231723	7.575874184	7.236994653	6.756897272	6.751401018	6.703105836	7.279992569	7.249784323	7.25527433	6.774990106	7.132821697	7.330459318	6.980114539	7.36893317	8.45250327	7.837327344
CIC11T00000003599	 AIM36	7.161227547	7.230820435	7.243250175	7.744094491	7.698059291	7.297978053	6.320061091	6.197946968	5.979579905	7.018553176	7.176717455	7.164634611	7.215452983	7.263855706	7.062339545	7.001515581	7.104945933	7.497701031	7.977435765	7.842740168
CIC11T00000004724	 pnk1	4.396433002	4.377084731	5.003947907	4.986442857	5.046137467	4.617501579	5.294952063	5.437450465	5.337181972	4.260224227	4.841692383	4.956354769	4.461668498	4.49753614	4.596669165	5.133368788	4.48166676	4.46156541	4.773899513	4.908409325
CIC11T00000003141	 SNU23	4.647512066	4.800604688	4.800036543	4.381292389	4.024418995	4.609224641	4.998132187	5.04561643	4.872904401	5.243238736	6.004670879	6.064783466	5.350742375	5.226044804	5.514503467	5.581710261	5.834272127	4.078320006	4.417669364	4.161327677
CIC11T00000004516	 augustus_masked-chr2-processed-gene-2.79	10.97289946	10.99553709	10.94455645	11.1725214	11.06385472	10.84286227	10.82242312	10.6155609	10.68401516	10.19698869	10.7943156	10.78457079	10.77836959	10.24609825	10.84484668	10.94676109	10.94760853	11.26202595	11.4013165	11.23110099
CIC11T00000000712	 CPR3	10.65275441	10.48728437	10.68886259	10.1869876	10.20402937	9.851863921	10.03017235	9.745757558	9.810454334	10.42647054	10.5323028	10.53685313	10.49661616	10.37884283	10.54620784	10.58893845	10.60314103	9.988383435	10.61503951	10.21662638
CIC11T00000002646	 SPCC794.11c	9.946738107	9.903194533	8.660490099	9.114495889	9.709660983	9.122545376	9.577881726	9.750505029	9.742379674	9.504540758	9.827016978	9.796177105	9.913943342	9.500963118	9.925850403	9.653319426	9.655247697	9.421084074	9.774385313	9.467256284
CIC11T00000000697	 SAC3	4.89878925	4.880760609	3.971321523	5.535289271	5.052315371	5.070831131	5.633416898	5.371961095	5.425274575	5.291488096	6.215070857	5.962353805	6.286503161	5.213114869	5.990139781	6.391603969	6.295599072	5.123500076	4.932818655	4.946038407
CIC11T00000002620	 SAC3_2	4.347074017	4.922372761	4.783782272	4.926377816	4.95830734	5.027651291	4.696803476	4.485918641	4.614247909	4.503962177	4.55473403	4.843725925	4.668991326	4.513812747	4.621144637	4.960158696	5.28185256	4.752394392	4.223430968	4.649140142
CIC11T00000001570	 RKM5	3.526993939	3.403384764	3.708787518	3.756727466	3.990075177	3.627831113	3.729868948	3.603832553	3.458831567	3.878529396	4.126867733	3.693411749	4.216892579	3.523315891	3.853207906	3.621839716	3.658362243	3.141565955	3.550772481	3.435605153
CIC11T00000003874	 HOM2	11.629174	11.48571281	11.07178934	12.14978039	12.31664887	11.81272738	12.36251649	12.21756711	12.24433408	10.58802265	10.9493478	10.99383265	10.89220748	10.71798705	10.95673688	10.98934078	10.86503273	12.07208733	12.48901653	12.0543014
CIC11T00000002687	 POB3	9.712367022	9.800667929	9.83888653	9.610774678	9.760287733	9.312033258	9.70871761	9.653091649	9.530787617	9.432113363	9.755868304	9.823561548	9.757882194	9.475435535	9.754888838	9.792457566	9.742910973	9.619842227	9.840668695	9.530865535
CIC11T00000003770	 YNL095c	8.782186496	8.696133875	8.734911146	7.706706843	7.403495771	7.782933285	8.963332311	8.945601134	8.907754702	9.22717368	9.906198834	9.879370597	9.953588376	9.37089616	9.901854518	9.950930957	9.994892731	7.785130054	7.42472022	7.518844062
CIC11T00000004809	 YET3	9.996606844	9.734568633	10.09419907	7.97604186	8.097449005	7.510394877	9.10126266	8.848302268	8.803853816	9.618608076	10.00938111	9.886222749	10.03852509	9.616043971	9.983133238	10.04900744	10.14389231	8.340332547	8.83727758	8.390053627
CIC11T00000001924	 DUS3	7.833952851	7.759376549	7.865312019	8.980877414	8.737708731	8.983732997	8.200604113	8.202464181	8.117859906	7.682384676	7.450409561	7.567241355	7.641916342	7.894814991	7.706150971	7.894434818	7.859441113	7.945365583	8.155332239	7.806417041
CIC11T00000005460	 UTP21	8.128705386	8.221508933	6.926618268	9.595546804	9.707048221	10.23415709	8.381907081	8.79895699	8.760119419	9.331931879	8.428012394	8.177928557	8.577089158	9.282815569	8.583284299	8.577483993	8.517823579	8.949755366	8.789381739	8.830677584
CIC11T00000000290	 vam6	3.707078988	4.019498751	5.401490055	3.362066021	3.466739527	3.689076737	3.339014117	3.791797162	3.830157729	3.756199574	2.805265745	2.785979815	2.567916089	3.679481519	3.370047209	3.518665262	3.255764333	3.550701218	3.154417632	3.486528457
CIC11T00000001279	 RXT3	8.380969221	8.518460264	8.020224159	7.643981586	7.573431103	7.269492393	8.091930761	7.962802311	8.013880608	8.046025959	8.388840132	8.356597775	8.265743975	7.603243382	8.142131793	8.609821125	8.387489839	7.615485153	8.183921312	7.780653452
CIC11T00000004118	 YLR407w	7.213768769	7.268150761	7.015985571	7.730809193	7.369616783	7.549042862	7.204053385	7.137333754	6.968400314	7.530466806	7.835091068	7.969081439	7.538574721	7.468911161	7.61406403	7.064618645	7.472303666	6.642003236	7.06297324	6.884619339
CIC11T00000000897	 augustus_masked-chr2-processed-gene-3.74	3.086054538	3.166821449	2.720711259	4.19583239	2.929195037	3.802903371	3.943767504	3.48565265	3.276631461	3.629097462	3.723624705	3.652090035	3.63565801	3.422522742	3.544799645	3.65552292	3.698013609	2.842010137	3.008038723	3.232832144
CIC11T00000003140	 augustus_masked-chr2-processed-gene-3.51	4.884828914	5.198804337	4.599228912	3.701582541	4.092028159	3.622206108	5.352693166	5.64966528	5.429404086	4.781722206	5.151270508	5.336944056	5.318451629	4.364244967	4.93423167	5.133368788	5.209399683	3.972848869	4.06453003	4.385955111
CIC11T00000001882	 RPL31B	13.29377027	13.2308192	13.40699076	14.22555622	14.00611726	13.67973757	13.31353118	12.91614789	12.97721571	12.39683464	12.36523331	12.32057369	12.24357159	12.4317272	12.26430813	12.20860785	12.22324755	13.5394047	13.79831517	13.5183708
CIC11T00000004811	 PEX6	8.104044716	8.175426301	8.866373315	7.607787381	8.068303523	7.795775199	8.14468805	8.564151847	8.642563774	8.320514453	8.08480542	8.131618556	7.753888686	7.95813678	7.7373659	7.834603685	7.951379222	8.140709011	8.17493242	8.233146527
CIC11T00000005594	 MDJ2	4.601917028	4.26603201	4.573210659	4.632416525	5.015058541	4.83703279	3.936860255	4.316650965	4.218767148	3.863487794	3.787799459	3.930905735	3.951886338	3.813421936	4.509492902	4.00472682	3.658362243	4.667241119	5.098652024	4.908409325
CIC11T00000000846	 PYK1	13.69599618	13.64683637	13.75586458	14.27402857	14.36968239	14.15444691	12.91787897	12.60226293	12.76383617	12.85380817	12.95337032	12.95283339	13.0170321	12.94561233	13.03785366	12.99954729	13.03771429	14.11804386	14.13534541	13.98890682
CIC11T00000002353	 COQ5	9.210056432	8.987877849	9.204931504	9.624803252	9.578884357	9.436390902	8.371171854	8.166972225	8.148148957	9.23188939	8.917259268	9.028349057	8.962527935	9.082270815	8.896294896	8.803750089	8.913784147	9.392863655	9.668661535	9.542855464
CIC11T00000003661	 augustus_masked-chr2-processed-gene-3.76	7.227727566	7.333581272	7.654664191	7.309684395	7.50985073	7.310533931	7.352090304	7.180544905	7.298774537	7.591585163	7.568240368	7.653233755	7.740985678	7.543105664	7.717904645	7.661784323	7.777659023	7.565378943	7.312780888	7.608001969
CIC11T00000001511	 GCD7	7.783885447	7.768912782	7.836719243	8.974859237	8.829004029	8.470899948	8.349541492	8.184788427	8.075355641	7.726523034	8.332485446	8.257387681	8.381095522	7.89714802	8.24708107	8.516884517	8.373301813	7.99578036	8.477495585	7.982641457
CIC11T00000004426	 FLCY	6.331490437	6.424686665	6.655068276	5.081600823	4.402656286	5.244382356	5.692684092	5.736568371	5.782399548	6.885793075	6.767733241	6.669787204	6.8719091	6.813325961	6.712664664	6.859172402	7.1110284	5.370790253	5.241910721	5.579553198
CIC11T00000003948	 POX1_2	4.889489357	4.940688561	5.137567612	2.61966669	3.203239704	2.866924613	4.734750564	4.955662373	4.941650063	3.871017317	3.582917747	3.301395945	3.436008498	3.168601311	3.204511074	3.688863035	3.775900213	3.455458214	4.453937871	3.60237846
CIC11T00000002024	 SDS22	7.867765968	7.783145434	8.091606457	8.021195894	7.925095814	7.819983847	9.098425763	8.683689964	8.834233615	7.861403031	7.52179234	7.639680199	7.829862078	7.934162372	7.674521401	7.628968719	7.726249855	8.140709011	8.173430765	7.992802126
